reporter_iso,reporter_name,year,gdp_current_usd,population_total,gdp_growth_annual_pct,trade_pct_of_gdp
CHE,Switzerland,2022,8.58479E+11,8777088,3.534302868,136.235871
CHE,Switzerland,2023,9.28435E+11,8888822,0.825560934,129.7371945
CHE,Switzerland,2024,9.6992E+11,9005582,1.390333639,130.354516
CHI,Channel Islands,2015,10109273770,163454,0.374367084,
CHI,Channel Islands,2016,9168857222,163883,1.213024077,
CHI,Channel Islands,2017,9170044517,164319,1.806481314,
CHI,Channel Islands,2018,10026394044,164949,1.122243566,
CHI,Channel Islands,2019,10031864649,165639,1.573355962,
CHI,Channel Islands,2020,9439810769,166235,-8.896779266,
CHI,Channel Islands,2021,11157540110,166741,9.93680137,
CHI,Channel Islands,2022,11308272505,167215,5.341961404,
CHI,Channel Islands,2023,12507320838,167691,3.715005904,
CHI,Channel Islands,2024,,168126,,
CHL,Chile,2015,2.4245E+11,18047625,2.1519425,59.34911057
CHL,Chile,2016,2.49345E+11,18267221,1.753038749,56.05786031
CHL,Chile,2017,2.76154E+11,18558868,1.357695373,56.02615864
CHL,Chile,2018,2.95858E+11,18893191,3.990029478,58.1770513
CHL,Chile,2019,2.78308E+11,19197744,0.644223403,57.60691579
CHL,Chile,2020,2.54104E+11,19370624,-6.139696941,58.16876939
CHL,Chile,2021,3.15507E+11,19456334,11.33740324,64.83999248
CHL,Chile,2022,3.01099E+11,19553036,2.063918643,75.23341975
CHL,Chile,2023,3.35803E+11,19658835,0.677024832,60.67664447
CHL,Chile,2024,3.29261E+11,19764771,2.805126371,63.95774653
CHN,China,2015,1.12808E+13,1379860000,6.981622556,38.69718484
CHN,China,2016,1.1456E+13,1387790000,6.773688687,36.17717069
CHN,China,2017,1.25376E+13,1396215000,6.891239166,36.95085262
CHN,China,2018,1.41478E+13,1402760000,6.757806142,36.89438439
CHN,China,2019,1.45602E+13,1407745000,6.067378063,35.45443503
CHN,China,2020,1.49964E+13,1411100000,2.339503852,34.33777847
CHN,China,2021,1.82017E+13,1412360000,8.57038415,36.64287896
CHN,China,2022,1.83168E+13,1412175000,3.133854384,37.51255568
CHN,China,2023,1.82704E+13,1410710000,5.416003345,36.73914969
CHN,China,2024,1.87297E+13,1408975000,4.958303788,37.95606014
CIV,Cote d'Ivoire,2015,45815005169,25246342,7.194949427,52.71536046
CIV,Cote d'Ivoire,2016,48407761037,25989405,7.17275964,47.56557836
CIV,Cote d'Ivoire,2017,52512343997,26733372,7.410762426,48.66250747
CIV,Cote d'Ivoire,2018,58522477787,27464173,4.843146059,46.03750871
CIV,Cote d'Ivoire,2019,60382894697,28193009,6.721371676,44.66041058
CIV,Cote d'Ivoire,2020,63027852805,28915449,0.699728593,41.94263182
CIV,Cote d'Ivoire,2021,72794636654,29639736,7.062537134,45.11403278
CIV,Cote d'Ivoire,2022,70922824814,30395002,6.399883627,52.86639104
CIV,Cote d'Ivoire,2023,80780312569,31165654,6.600000452,48.81700391
CIV,Cote d'Ivoire,2024,87113179149,31934230,6.019534619,51.26498454
CMR,Cameroon,2015,32210233020,22763414,5.666952987,45.54014683
CMR,Cameroon,2016,33814337044,23454161,4.535794237,40.63863153
CMR,Cameroon,2017,36098547033,24128601,3.541176549,39.19902161
CMR,Cameroon,2018,39955552190,24806383,3.955514239,40.58760288
CMR,Cameroon,2019,39667757528,25506095,3.475059982,43.37851325
CMR,Cameroon,2020,40773241177,26210558,0.259932916,33.73883136
CMR,Cameroon,2021,45011937347,26915758,3.338857472,36.73083472
CMR,Cameroon,2022,44347206073,27632771,3.736784006,41.28660256
CMR,Cameroon,2023,48814501547,28372687,3.347562908,37.89033212
CMR,Cameroon,2024,53296694320,29123744,3.524723081,34.40317859
COD,"Congo, Dem. Rep.",2015,40179574490,81035531,6.359737562,57.75392362
COD,"Congo, Dem. Rep.",2016,38600224214,83956415,0.393832798,68.00833429
COD,"Congo, Dem. Rep.",2017,37537521566,87083398,4.241210473,65.91845253
COD,"Congo, Dem. Rep.",2018,46659954092,90047644,6.071688706,72.55917391
COD,"Congo, Dem. Rep.",2019,46845900350,92947442,0.555384295,60.91435237
COD,"Congo, Dem. Rep.",2020,46691989749,95989998,0.775427992,61.02847077
COD,"Congo, Dem. Rep.",2021,59067289574,99148932,6.429610056,75.38705239
